Time Stamp,ID,Extended,Dir,Bus,LEN,D0,D1,D2,D3,D4,D5,D6,D7
1743890401.549,00000010,0,Rx,0,8,00,FF,61,30,00,00,03,AD
1743890401.550,00000010,0,Rx,0,8,00,FF,61,30,00,00,04,AA
1743890401.551,00000012,0,Rx,0,8,99,99,32,00,00,00,0A,38
1743890401.552,00000013,0,Rx,0,8,FF,01,09,00,00,00,00,00
1743890401.553,00000012,0,Rx,0,8,99,99,32,00,01,00,0B,38
1743890401.554,00000400,0,Rx,0,8,00,0D,0A,F0,00,01,02,F4
1743890401.555,00000010,0,Rx,0,8,00,FF,61,30,00,00,07,A9
1743890401.556,00000102,0,Rx,0,8,00,00,18,63,58,CE,00,ED
1743890401.557,00000012,0,Rx,0,8,99,99,32,00,00,00,0C,3E
1743890401.558,00000122,0,Rx,0,8,2A,23,2D,21,00,00,04,01
1743890401.559,00000530,0,Rx,0,8,FF,FE,F5,D5,52,03,91,00
1743890401.560,00000012,0,Rx,0,8,99,99,32,00,01,00,0D,3E
1743890401.561,00000316,0,Rx,0,8,12,91,01,34,5D,00,00,00
1743890401.562,00000010,0,Rx,0,8,00,FF,60,30,00,00,0B,A4
1743890401.563,00000022,0,Rx,0,8,FF,FF,FF,FF,00,00,04,04
1743890401.564,00000231,0,Rx,0,8,00,01,00,00,00,00,0C,0D
1743890401.565,00000010,0,Rx,0,8,00,FF,61,30,00,00,0D,A3
1743890401.566,00000102,0,Rx,0,8,00,00,18,63,58,CE,07,EA
1743890401.567,00000012,0,Rx,0,8,99,99,32,00,01,00,0F,3C
1743890401.568,00000013,0,Rx,0,8,FF,01,09,00,00,00,00,00
1743890401.569,00000102,0,Rx,0,8,00,00,18,63,58,CE,09,E4
1743890401.570,00000012,0,Rx,0,8,99,99,32,00,00,00,00,32
1743890401.571,00000122,0,Rx,0,8,2A,23,2D,21,00,00,0C,09
1743890401.572,00000308,0,Rx,0,8,00,12,00,00,00,00,82,00
1743890401.573,00000342,0,Rx,0,8,04,DF,99,99,85,00,04,A3
1743890401.574,00000530,0,Rx,0,8,FF,FE,F5,D5,52,03,91,00
1743890401.575,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.576,00000231,0,Rx,0,8,00,01,00,00,00,00,04,05
1743890401.577,00000013,0,Rx,0,8,FF,01,09,00,00,00,00,00
1743890401.578,00000231,0,Rx,0,8,00,01,00,00,00,00,04,05
1743890401.579,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.580,00000010,0,Rx,0,8,00,FF,61,30,00,00,0C,A2
1743890401.581,00000410,0,Rx,0,8,3F,00,00,00,00,FF,06,C6
1743890401.582,00000231,0,Rx,0,8,00,01,00,00,00,00,0F,0E
1743890401.583,00000530,0,Rx,0,8,FF,FE,F5,D5,52,03,91,00
1743890401.584,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.585,00000010,0,Rx,0,8,00,FF,60,30,00,00,0F,A0
1743890401.586,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.587,00000010,0,Rx,0,8,00,FF,61,30,00,00,00,AE
1743890401.588,00000010,0,Rx,0,8,00,FF,61,30,00,00,01,AF
1743890401.589,00000103,0,Rx,0,8,03,00,02,00,00,00,0F,0E
1743890401.590,00000122,0,Rx,0,8,2A,23,2D,21,00,00,01,04
1743890401.591,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.592,00000102,0,Rx,0,8,00,00,18,63,58,CE,00,ED
